Train Episode: 179	Loss: 0.815358	Accuracy: 0.700	MetaParam_1: 0.010188	MetaParam_2: -0.047318	MetaParam_3: 0.005528
Train Episode: 180	Loss: 0.913402	Accuracy: 0.720	MetaParam_1: 0.010245	MetaParam_2: -0.047379	MetaParam_3: 0.005545
Train Episode: 181	Loss: 0.710033	Accuracy: 0.740	MetaParam_1: 0.010358	MetaParam_2: -0.047497	MetaParam_3: 0.005554
Train Episode: 182	Loss: 0.769196	Accuracy: 0.780	MetaParam_1: 0.010495	MetaParam_2: -0.047638	MetaParam_3: 0.005582
Train Episode: 183	Loss: 0.919075	Accuracy: 0.740	MetaParam_1: 0.010613	MetaParam_2: -0.047780	MetaParam_3: 0.005619
Train Episode: 184	Loss: 0.645866	Accuracy: 0.680	MetaParam_1: 0.010633	MetaParam_2: -0.047855	MetaParam_3: 0.005676
Train Episode: 185	Loss: 0.555924	Accuracy: 0.780	MetaParam_1: 0.010652	MetaParam_2: -0.047966	MetaParam_3: 0.005752
Train Episode: 186	Loss: 0.826599	Accuracy: 0.760	MetaParam_1: 0.010675	MetaParam_2: -0.048080	MetaParam_3: 0.005823
Train Episode: 187	Loss: 1.025476	Accuracy: 0.600	MetaParam_1: 0.010804	MetaParam_2: -0.048182	MetaParam_3: 0.005816
Train Episode: 188	Loss: 0.500273	Accuracy: 0.840	MetaParam_1: 0.010906	MetaParam_2: -0.048222	MetaParam_3: 0.005801
Train Episode: 189	Loss: 0.555375	Accuracy: 0.840	MetaParam_1: 0.011001	MetaParam_2: -0.048256	MetaParam_3: 0.005756
Train Episode: 190	Loss: 0.764026	Accuracy: 0.720	MetaParam_1: 0.011079	MetaParam_2: -0.048361	MetaParam_3: 0.005815
Train Episode: 191	Loss: 1.585781	Accuracy: 0.480	MetaParam_1: 0.011132	MetaParam_2: -0.048446	MetaParam_3: 0.005820
Train Episode: 192	Loss: 0.785848	Accuracy: 0.740	MetaParam_1: 0.010990	MetaParam_2: -0.048261	MetaParam_3: 0.006014
Train Episode: 193	Loss: 0.639215	Accuracy: 0.740	MetaParam_1: 0.010808	MetaParam_2: -0.048090	MetaParam_3: 0.006167
Train Episode: 194	Loss: 0.365333	Accuracy: 0.900	MetaParam_1: 0.010673	MetaParam_2: -0.047949	MetaParam_3: 0.006275
