Episode: 152, v_learner_vector: tensor([[-0.0086,  0.0252]], device='cuda:0') 
Episode: 153, v_learner_vector: tensor([[-0.0086,  0.0252]], device='cuda:0') 
Episode: 154, v_learner_vector: tensor([[-0.0086,  0.0252]], device='cuda:0') 
Episode: 155, v_learner_vector: tensor([[-0.0086,  0.0252]], device='cuda:0') 
Episode: 156, v_learner_vector: tensor([[-0.0086,  0.0252]], device='cuda:0') 
Episode: 157, v_learner_vector: tensor([[-0.0086,  0.0252]], device='cuda:0') 
Episode: 158, v_learner_vector: tensor([[-0.0086,  0.0252]], device='cuda:0') 
Episode: 159, v_learner_vector: tensor([[-0.0086,  0.0252]], device='cuda:0') 
Episode: 160, v_learner_vector: tensor([[-0.0086,  0.0252]], device='cuda:0') 
Episode: 161, v_learner_vector: tensor([[-0.0086,  0.0252]], device='cuda:0') 
Episode: 162, v_learner_vector: tensor([[-0.0086,  0.0252]], device='cuda:0') 
Episode: 163, v_learner_vector: tensor([[-0.0086,  0.0252]], device='cuda:0') 
Episode: 164, v_learner_vector: tensor([[-0.0086,  0.0252]], device='cuda:0') 
Episode: 165, v_learner_vector: tensor([[-0.0086,  0.0252]], device='cuda:0') 
Episode: 166, v_learner_vector: tensor([[-0.0086,  0.0252]], device='cuda:0') 
Episode: 167, v_learner_vector: tensor([[-0.0086,  0.0252]], device='cuda:0') 
Episode: 168, v_learner_vector: tensor([[-0.0086,  0.0252]], device='cuda:0') 
Episode: 169, v_learner_vector: tensor([[-0.0086,  0.0252]], device='cuda:0') 
Episode: 170, v_learner_vector: tensor([[-0.0086,  0.0252]], device='cuda:0') 
Episode: 171, v_learner_vector: tensor([[-0.0086,  0.0252]], device='cuda:0') 
Episode: 172, v_learner_vector: tensor([[-0.0086,  0.0252]], device='cuda:0') 
Episode: 173, v_learner_vector: tensor([[-0.0086,  0.0252]], device='cuda:0') 
Episode: 174, v_learner_vector: tensor([[-0.0086,  0.0252]], device='cuda:0') 
Episode: 175, v_learner_vector: tensor([[-0.0086,  0.0252]], device='cuda:0') 
Episode: 176, v_learner_vector: tensor([[-0.0086,  0.0252]], device='cuda:0') 
Episode: 177, v_learner_vector: tensor([[-0.0086,  0.0252]], device='cuda:0') 
Episode: 178, v_learner_vector: tensor([[-0.0086,  0.0252]], device='cuda:0') 
Episode: 179, v_learner_vector: tensor([[-0.0086,  0.0252]], device='cuda:0') 
Episode: 180, v_learner_vector: tensor([[-0.0086,  0.0253]], device='cuda:0') 
Episode: 181, v_learner_vector: tensor([[-0.0086,  0.0253]], device='cuda:0') 
Episode: 182, v_learner_vector: tensor([[-0.0086,  0.0253]], device='cuda:0') 
Episode: 183, v_learner_vector: tensor([[-0.0086,  0.0253]], device='cuda:0') 
Episode: 184, v_learner_vector: tensor([[-0.0086,  0.0253]], device='cuda:0') 
Episode: 185, v_learner_vector: tensor([[-0.0086,  0.0253]], device='cuda:0') 
Episode: 186, v_learner_vector: tensor([[-0.0086,  0.0253]], device='cuda:0') 
Episode: 187, v_learner_vector: tensor([[-0.0086,  0.0253]], device='cuda:0') 
Episode: 188, v_learner_vector: tensor([[-0.0086,  0.0253]], device='cuda:0') 
Episode: 189, v_learner_vector: tensor([[-0.0086,  0.0254]], device='cuda:0') 
Episode: 190, v_learner_vector: tensor([[-0.0086,  0.0254]], device='cuda:0') 
Episode: 191, v_learner_vector: tensor([[-0.0086,  0.0254]], device='cuda:0') 
Episode: 192, v_learner_vector: tensor([[-0.0086,  0.0254]], device='cuda:0') 
Episode: 193, v_learner_vector: tensor([[-0.0086,  0.0254]], device='cuda:0') 
Episode: 194, v_learner_vector: tensor([[-0.0086,  0.0254]], device='cuda:0') 
Episode: 195, v_learner_vector: tensor([[-0.0086,  0.0254]], device='cuda:0') 
Episode: 196, v_learner_vector: tensor([[-0.0086,  0.0254]], device='cuda:0') 
Episode: 197, v_learner_vector: tensor([[-0.0086,  0.0254]], device='cuda:0') 
Episode: 198, v_learner_vector: tensor([[-0.0086,  0.0255]], device='cuda:0') 
Episode: 199, v_learner_vector: tensor([[-0.0086,  0.0255]], device='cuda:0') 
Episode: 200, v_learner_vector: tensor([[-0.0086,  0.0255]], device='cuda:0') 
